序号,您平时的学习任务是否繁重,在日常学习过程（不限于 B 站），您通常习惯或偏好通过哪些方式或渠道来获取新知识、学习新技能,为什么偏好这种方式, 您对学习新事物通常抱有什么样的态度？,您是什么时候开始使用 B 站的？,最初主要是用它来做什么呢？,现在您每天大概会花多长时间在 B 站上, 主要会看哪些方面的内容呢？,相对于其他内容，学习的内容占比例有多少,您是什么时候开始有意识地使用 B 站进行学习的？,您通常会在 B 站上学习哪些类型的知识或技能？,您一般在什么情况下会选择使用 B 站来学习？,能描述一个您最近使用 B 站学习的具体场景吗？,当您想在 B 站学习某个主题时，您通常是如何找到相关的视频或 UP 主的？,哪些因素对您的选择视频影响最大,在 B 站学习时，您有哪些常用的功能或习惯？,与其他学习途径（如学校课堂、教材、MOOC、专业教育平台、其他视频网站等）相比，您为什么会选择 B 站进行学习？, 对于不同类型的学习内容或学习目标，什么时候会首选 B 站，什么时候会选择其他途径,在您的整体学习过程中，B 站扮演着一个什么样的角色？,B 站的学习内容对您的理解力、知识面或思维方式等有带来什么积极影响吗,在 B 站学习通常会给您带来什么样的感受？,用几个关键词概括B站学习的价值,困扰,对于 B 站作为学习平台，您有什么期望或建议吗？（比如希望增加哪些功能，或者内容方面有什么期待 ）
11,学习任务视情况而定。,主要通过小红书、知网、Pinterest及竞赛类网站获取知识，不会为学校或机构课程付费,倾向于找简单直白、干货多的免费资源，快速完成作业。,对感兴趣的内容学习更高效舒适，与作业相关的内容则兴趣较低。,小学三、四年级开始使用,最初因二次元内容（动漫、同人）,每天超10小时。,60%为游戏、动漫同人相关内容,40%为学习内容,大一开始。因B站是长视频平台，有大量免费教程，且具备转文字、分级备注等功能，弹幕可补充内容，适合学习建模等技能。,建模、绘画、电脑程序,做作业不会的时候,,通过关键词搜索,优先选择播放量、弹幕量高的视频，也会关注最新但播放量少的内容。,习惯缓存易下架内容到网盘、收藏文件夹，常开倍速或跳着看，弹幕主要用于补充信息但通常关闭。,选择B站因操作熟悉，且小红书竖屏视频易被作者名遮挡字幕，难以看清操作步骤；B站更符合视频网站规范，便于查看细节，成本低。,讲解较慢、适合吸收,辅助资料库或入门引导工具,提升了自学能力、信息检索与筛选能力、解决问题能力。更容易理解复杂概念，减少学习焦虑，降低学习成本,,爽、直、干（高效、直接、干货多）,长视频不分点时，查找特定步骤需反复拖动进度条，耗时；推送算法依赖标题标签，精准度低于抖音、小红书，搜索成本较高。,特点：免费教程多、社区氛围好、功能实用；意义：低成本高效学习。期望：增加“免费专区”，避免付费内容与免费内容重复。
12,是的，很繁重,主要通过视频网站找免费在线课程，因为免费、资源丰富多样，还能通过评论区获取相关学习内容,B站免费,兴趣比较多吧 碎片化学习,2015年开始使用，每天都会用,最初主要看二次元和ACG内容，被这类内容吸引,每天5-6小时,主要看娱乐、新闻、实证类内容,学习内容占比不多，仅在需要查找课程时学习,学习专业课知识和个人爱好相关技能，比如摄影，高中上网课时也会用B站查找线上学习内容,摄影,学习新技能或解决具体问题时用B站,学习word文字排版,通过关键词搜索查找内容,根据播放数据和评论区判断质量,常用倍速播放，听不懂的地方慢速，熟悉的内容快进，偶尔发弹幕、评论互动。,因为B站资源丰富，适合观看较长课程，评论区讨论更专注内容，可以通过弹幕实时交流，遇到不懂的地方有弹幕解答,需要实时教程或操作演示时选B站，仅需文字解答时选其他途径,是资料库和社区，对学习起到锦上添花的辅助作用，方便我快速找到我需要的内容,自学能力和专业技能有所提升，比如通过免费课程自学摄影、巩固专业课知识,不同博主内容和弹幕评论提供了多元思路和视角,简单,内容可能更新滞后，需要自行在评论区或关注UP主查找最新资源,在B站可以轻松自主、可按兴趣有目的性学习，希望优化优质课程的推流和留存机制，做好视频平台本职
13,是的，很繁重,免费课程性价比高，书籍适合系统性钻研,,,小学五年级开始，每天使用,最初因美食区内容吸引，用于娱乐,每天2~3小时,主看学习、生活技能、手作（如作曲、建模、陶瓷）,学习内容占比较高,经朋友推荐开始查找学习资料,手作类（绕线戒指、簪花）、建模软件（Blender、Maya）、骨骼绑定、音乐（qBass）,,为制作概念动画，学习Maya骨骼绑定与动作设置,关键词搜索或UP主推荐,点赞量、推荐数、弹幕数量（如开头10秒弹幕大量退出会弃看）, 1.5倍速播放（快速检索关键知识）、发弹幕互动、收藏内容，陪伴感提升学习动力，倍速功能节省时间。, B站长视频适合深度学习，内容系统性强；小红书碎片化知识量少。B站UP主忠诚度高，讲解风格独特（如数学UP主“阿树”）, 首选需系统学习或专业度高的内容（如Houdini教程）用B站，需快速速成或碎片化知识时（如知乎）用其他平台,引导入门的工具，大学阶段自学的重要辅助工具，不可或缺,"自学效率高、内容有趣、拓展知识面，通过生动案例解释抽象概念（如哲学名词），提升理解力，拓宽认知边界
",轻松、有趣、积极，学习区弹幕/评论友好，无攻击性言论,,教程同质化严重，不同UP主内容重复，需花时间筛选,"
特点：长视频深度学习、UP主风格独特、社区氛围友好。

意义：短视频时代的系统性学习工具，辅助自学的重要平台。"
14,学习任务较重,主要通过阅读文献获取知识，尤其在写课程设计时，文献内容前沿，能拓宽思路,喜欢将任务分配到每天，避免突击学习，利于深入理解知识点,任务要求驱动更多，偏好系统学习。学完后会梳理知识间的联系，搭建思维框架，避免碎片化。,大一开始使用，每学期用B站学习1-2门课程，找对应老师的章节内容, 最初看泛剪视频（如喜欢的演员剪辑），但使用频率不高,复习阶段每天3-4小时,主要学习数学、物理基础课、专业课，偶尔看摄影内容,百分之七八十,上大学后，课程跟不上或知识点理解困难时，发现B站有老师讲解教材原理（比PPT更易懂），于是开始学习,,,刚结束的专业课考试复习中，用B站看教材作业题讲解，解决老师未讲解的问题,先用其他软件搜索课程，获取B站博主推荐，再找对应视频,看评论区、在线人数，重点关注内容是否与课本契合,习惯开1.5倍速播放，边看边做笔记，不发弹幕/评论；会按合集顺序学习下一个视频,"对比课内课件：B站视频能讲解公式推导过程，避免知识点断层；

◦ 对比慕课：B站老师多用板书或平板笔实时演示，更易集中注意力。",碎片化问题用百度/搜题软件，系统性学习首选B站,主要学习平台，兼具辅助作用（拓宽思路、讲解知识点）,自学能力、理解能力、搭建思维框架的能力，锻炼了自律和自主学习能力,有趣，能解决问题、带来成就感,全面、高效,偶尔内容不匹配，需筛选课程,搜索教材时精准匹配对应讲解的老师，减少无关内容
15,学习任务较重,主要通过B站和计算机相关学习网站（如CSDN、LeetCode）学习，偏好视频网课形式，因讲解易懂且便携,认为纸质书籍做笔记最高效,初高中学习频率中等偏高，每天时长较短，更倾向系统学习,初高中,最初因兴趣使用，观看运动、潮流类非学习内容,学习时每天4-5小时，休闲娱乐约1小时内, 内容包括摄影旅拍、生活VLOG、体育，学习相关占80%（如高数、物理、计算机基础、摄影剪辑）,百分之八十,上大学之后吧,听他人推荐“B站宋浩”后开始学习，主要用于补充高数、物理、计算机及摄影技能,主要用于课程预习和系统性知识学习,最近在B站观看“王涛考研”相关课程,搜索关键词,点赞量、评论区互动、UP主讲解风格和视频制作水平, 常用倍速播放调节进度，收藏和课程列表功能用于归纳学习资源,B站资源获取便捷、课程量大，实操课程直观展示步骤，基础知识讲解生动易理解,理论型知识首选B站，实操型内容结合B站与其他专业软件, 主要学习平台，同时作为休闲放松的渠道,自学能力、信息检索与筛选能力、归纳总结能力提升了,体验有趣、放松，弹幕互动能缓解学习枯燥感,高效、丰富,小众知识点内容质量参差不齐，搜索结果不精准,优化搜索算法，提升小众内容的匹配度和丰富度
16,是的繁重,学习通、课本或上哔哩哔哩,学习通可以补充上课遗漏的东西，哔哩哔哩可以补充课上没有的东西，会更加全面,综合的吧，视情况而定,2019年开始使用,为了看一些娱乐的内容，学习的内容也有,平常比较少，期末周时比较多，平均1小时,主要会看课上老师没有讲到的内容进行拓展还有一些娱乐的视频,娱乐学习五五开,上大学之后，为了学习高数,专业需要的知识或者通识类知识,要对学习知识进行拓展的时候会选择用B站,,搜索关键词，或者在其他平台搜索或其他博主的推荐再进行相关的搜索,视频播放量和一键三连数,通常会使用倍速功能，能够让我的学习更加高效,b站有很多可以拓展的内容和东西，资源比较丰富,,辅助的学习资料库,信息检索的能力提高了,轻松和丰富吧,,无,目前没有
17,作业比较多的时候或期末周的时候比较繁重,用小红书或哔哩哔哩，比较碎片化的会在小红书上学,都比较方便,兴趣比较多，兴趣的话会更加学的进去，如果是课上的专业知识会更加有目标驱动一点,初中的时候，但是因为经常呆在学校所以用的比较少,为了娱乐，或看一些带有逻辑能力提升的视频,平均1小时，碎片化,一些锻炼逻辑的视频、娱乐,学习占百分之七十吧,高中的时候，通过朋友的推荐开始观看锻炼逻辑的视频,主要是期末周的速成,要比较系统地学习的时候，但我个人会更喜欢碎片化的学习,,一般是朋友的推荐,看视频封面和播放量,收藏用的比较多,b站以长视频为主，系统性更强，而且有很多老师会入驻平台也有很多up主，有很多不同的讲解风格，更加多样性,一般我要更加系统性的学习或者深度学习的时候,辅助的资料库和引导的工具吧,信息检索的能力有提高，也拓宽了认知维度和边界,有趣并且丰富,有用,无,目前没有
18,专业课程作业多，作业完成时间比较长，相对繁重吧,会去b站搜索教程，也会去小红书找灵感，有些技术上的也会去抖音,感觉这几个软件特点都比较明确，b站可能关于理论和方法比较详细，小红书和抖音灵感类的内容比较多，也比较实用,兴趣居多，面对新东西对很感兴趣的去学习,小学的时候,为了学画水彩，画画的知识,1-2个小时吧,最近会看测评，总体学习、娱乐和测评类的内容都会看,百分之六十吧,从大学开始，为了学板绘或者锻炼,锻炼、绘画,按需使用,,搜索关键词,主要看播放量，然后会看封面,喜欢用收藏，还有喜欢边看边做,涵盖的内容很丰富，其次是有很多专业的人在上面上传专业的知识，感觉很可靠。其次会觉得他很符合年轻人，感觉在b站学习压力不会很大，感觉可以放松又可以尽情地学习,根据学习的优先级和急迫性，一般在学习任务不会很繁重的时候，不着急的状态下会选择b站学习,得力的学习助手，视频内容很符合需求,筛选能力和分析能力有所变强，看完后需要分析视频内容，还有你需要在多个视频里面选出你最想要的,轻松，全面,,视频收费、广告多,可以增加“笔记本”功能，可以记录评论区内容或up主说的话
19,平时的任务不太繁重，但专业课作业一多就有一些繁重,用的最多的是小红书，B站和抖音，或者百度和一些AI软件,满足我可以获取一些老师课上讲的内容以外的知识,综合考量,上大学开始使用,为了看一些免费的娱乐的内容,5-6个小时,娱乐和学习,五五开,一开始为了搜索一些人体的绘画教程，现在更多偏向英语和环境设计专业相关的内容,学英语和绘画技巧，比如马克笔的运用和水彩,为了解决作业问题的时候需要,学习英语，一是为了四六级二是为了补充词汇,搜索关键词，也会看到一些别人推荐的视频或up主,主要看播放量，还会看弹幕,没有什么很喜欢的功能，倍速吧,b站汇总的比较全，视频内容也比较有趣，比较能听得进去，也比较方便,需要比较系统地进行学习的时候，后期会更加方便,辅助工具，补充不足的知识,信息检索的能力提高了，因为会有很多个视频需要进行比较,轻松、方便,有趣,内容并不是非常的与时俱进，有一些滞后,无
20,挺繁重的,专业性比较强的会先用知网查文献，或者线下的课程。网课的话会使用B站,可以看一些时政类、经济类的分析和长视频,主要是目标驱动,小学五年级开始用，使用非常频繁,主要是看番、游戏视频和一些鬼畜视频,5-8个小时，碎片化,除了娱乐方面，会看一些时政类的分析，期末的时候会用他复习,百分之四十,高中转向初中的时候,专业课程比较少，主要是兴趣类的知识积累,期末复习的时候,,通过之前观看推荐视频的积累，会有一批适合自己且想看的up主，专业 课程的话就直接搜索课程名字,看播放量,倍速，可以更加高效且集中注意力,内容比较丰富吧，但也有不足的地方，因为内容太丰富导致信息有点冗杂，会有分心的情况出现,在什么都不会的时候会使用b站进行系统的学习,很重要的辅助工具,通过观看一些时政类经济类的分析视频会拓宽我的认识和看法吧，一定程度上能够打破短视频带来的信息茧房,,系统,视频的链接推荐并不是根据点开的视频，而是根据历史视频推荐，会导致一定的分心，不够沉浸式,增加“沉浸式”体验功能，学习是可以仅保留视频本身而不用侧栏的相关推荐
21,是,比较喜欢网上找网课资源。学某个知识会专门搜网课；学技能的话会在小红书上搜；专业技能提升会通过实习锻炼。B站和小红书上很多up主做得很好。,习惯了,目标驱动型，但两者不冲突，会规划目标，也会在碎片时间按兴趣学。,初二,最初被B站的舞蹈视频吸引，比如好看的宅舞,2-4h,专业知识,学习内容占比大概60%-70%,高中,现在主要备考专四，会分专题搜语法、听力教程；历史学习上会在B站搜概括性、有趣的内容提兴趣；还有广播台需要的口播操、绕口令之类的兴趣内容。,学习专业知识,备考四六级,先在小红书搜评价和总结，再去B站找对应的视频。会看视频的点赞量、收藏量，还有up主的认证信息和评论区反馈，比如有没有人提到内容实用或易懂。,播放量,很少发弹幕，偶尔看弹幕缓解枯燥，比如看到有人说“这里能听懂吗”，会觉得有共鸣。常用收藏功能，看到好的教程会收藏，偶尔用Pad截图做笔记，很少看合集，更喜欢分专题搜。,便利性：随时能搜，碎片时间可用；成本：很多内容免费，比买课实惠；内容形式：有些up主总结得好，风格有趣，比教材生动；氛围：弹幕互动能让人觉得不是独自学习，挺有陪伴感。,学习目标比较大时，会先在小红书做攻略，比如规划“哪里该学什么、找哪个up主”，再去B站学系统知识，大框架在小红书确认，细节在B站抠。,既是主要平台也是辅助工具。比如某个板块讲得特别好，就会当成主平台；有时也用它补充学校课程没讲到的细节。,学能力和信息筛选能力明显提升，比如现在能快速判断视频内容是否适合自己，遇到问题也会主动搜教程解决。,轻松有趣，喜欢找风格风趣的up主，学习压力小,让学习变得轻松有趣、丰富多样，能从不同角度启发思考，帮我高效解决学习和技能提升的问题。内容多样、前沿，能接触到不同人思考问题的角度，启发自己理解复杂概念。,有些视频点赞量高但不合胃口，比如太严肃系统的内容，我更喜欢有趣的；遇到这种情况，会换其他视频看，多试几次就能找到喜欢的。,希望B站能给学习博主分类，比如把“严肃教程”和“趣味科普”分开，方便查找。
22,我正常是挺繁重的，但是我会把它变得不繁重。,分东西，如果说是想找一些经验或者是比较小的点，就比如说可能 figma 哪个按钮找不到了。我会去用小红书，因为它搜的比较精确，就是我能一下子就搜到那个点。如果说是比较系统化的东西，比如说什么思考方式，然后一个全新软件的教学，我会用 b 站。因为它相比于小红书来说，它搜出来的东西它是那种更全面的。,方便，信息多,目标驱动,小学三年级,学宅舞,1h,娱乐视频，kpop，甄嬛传,百分之零点五,高中网课，我不听课，然后作业做不明白，然后作业帮也搜不出来。我就去 b 站自己去补课,最近用它是去学 TD 怎么做，之前是有时候做 AE，高考生物、英语,要找需要的知识,学软件TD、AE,搜索,播放量，我会主要是去看播放量，然后评论区，评论区看的时候我会有两个时机去看，第一个是 up 主。他在视频里头说安装那个什么链接，那个安装包已经发到评论区了。我会去看评论区，然后第二个是我在我实际操作的时候，我遇到了一些问题。比如说我按照他那个教程一步步走下来，我发现实现不了，然后我就去看评论区有没有人跟我出现同样的情况。哎？他确实是有，然后那个 up 主就会回复他，这种情况该怎么解？,倍速，会节约我的时间，我不会选其他那些东西的原因,我觉得 b 站它有一些东西就是给我一种很专业的感觉，也有可能是因为它上面教学视频实在是太多了。所以就给我一种很专业很垂直的感觉。我觉得内容的特点我还是会选择很垂类，就是很垂。就是不像小红书，它小，在小红书上查那种 Unity 这种很专业的软件，一个是查不到什么教程。再一个是它教的东西都很碎。,要系统的学，以及要学一个很专业就还是很锤的东西，就是系统和锤的东西，我会找 b 站。然后很简单的东西，比如说 Figma 这种 so easy，不锤而且很碎片的东西。就比如说 Unity 里的某一个小功能点怎么翻译，或者是 Figma 某个快捷键。我会去小红书，因为他在小红书查我立刻就能得到答案。但是在 b 站我得挨个去看那个视频。,辅助性的资料库，不太重要,特定领域的专业技能,找资料不方便，交互上 b 站来说更方便一些。所以这个方面主要就体现在就是我可以一边操作一边暂停这种操作上的方便。然后第二另一种就是说那个找这个比较针对性的东西可能会比较方便，但是我其实觉得找这种针对性东西还是小红书比较方便。,优点专业性。缺点庞大厚重这两个词的意思就是说他有的那个教程他会做的很多页。我很讨厌这种很又臭又长的东西就看的我很烦，就是感觉它是一个很巨型的东西，它不像小红书，它是碎片展现开的东西。,我最大的困扰就是那些视频又臭又长，我没办法立刻找到我想找的那个点,希望就是在我一打开之后就给我出现一个什么点位。或者是这给我一个点位告诉我 我要看什么知识点。我可以直接点这个点位，可以快速定位。希望就在这个视频外面就会有定点，我就不用挨个点开看了。
23,不，偶尔繁重,B站上我们B站找课程，或者说是，有那种线下的聚会可能会去参加一下。去书店看那种相关类型的书籍。,B站的话，主要是专业上的一些知识。然后，如果是去书店，还有那种体验类的学习的话，可能就是。嗯，体验类的学习就比如说是自己生活中的一些困扰的话，想去学习怎么跟更好的相处，或者说是自己感兴趣的一些方面的话，就会去参加这种体验式的学习方式。,目标驱动，必须是有一种我需要考一个证，或者说是要达到多少分数这种。兴趣驱动比较少，但是近几年来的话，也有这样子的一些兴趣啊，但是就学的不全面，我还是更喜欢更系统的学习。,我大概是初三疫情的时候开始使用B站的，我一般通过B站听一些那种显化的显化类型的音频。嗯，然后确实是需要学习的时候才使用B站。平时用来刷视频的话比较少。,最初吸引我的内容是那种影视剪辑，因为我当时比较喜欢看电视剧，看完喜欢磕CP，然后，就去上面找CP上的视频。后面的话，主要是那种类似于神灵性类的视频，就比如说显化那种音频之类的，后面才是学习类的视频。,,还是看影视剪辑，然后塔罗占卜以及那种生活技能。就比如说，我要组装一个旅行材的凳子，我就会去上面搜索这种生活技能，或者说如果要学习做一个皮具这样子。都是这个B站还是比较工具化的。,30%。,高三冲刺的时候，从那个北京集训回来之后，嗯，感觉需要大量的集中的了解一个知识。但是老师不会系统的讲，所以我就去B站找那种，我的就是漏点去。就是查漏补缺，会去集中的学习这个。就是高三下学期的时候吧。,宗教宗教类型的，还有那种我要组装一个什么东西，我当时想要组装一个旅行材，或者说是要自己制作一个什么梳妆台那种，就是那种。木做木工啊，或者说是做皮具这种啊，我就会去上B站学。还有就是塔罗占卜速成，还有什么草药学、魔法学之类的这种东西，我就上去找教程。,这几个方面都有一般因为使用B站很方便，所以在预习看一下，复习看一下，学习新技能，具体问题都看一下。然后，有的时候想拓展一下视野，就是刷到了就拓展一下这样子。,四六级，然后我要考试了。,搜索关键词，然后会看封面，然后播放量，然后以及视频时长。以及就是大家的评论嘛，反正就是按排序来看吧。,视频的点赞数吧，Up主认证信息也也扫一眼。,单次学习大概是半小时吧，然后这种学习频率大概是一周一到两次的样子。一般会收藏，然后放到文件夹里面分类。这种收藏夹对我来说还是很好用的，就是，只有收藏夹这个功能是比较有用的。碎片化的集中的话，还是怎么说呢？还是在学校里面学习的时间比较多吧。,比如说那种慕课啊，什么专业的学教育平台，他没有我感兴趣的那些。就比如说塔罗牌之类的，这种没有，或者说是生活技能方面的也有所欠缺。然后可供选择的也比较的少。放学。然后没有我比较喜欢的那几个，就比如说法律类型的，有我很喜欢的那种，嗯，比如说罗翔之类的啊，没有那种更通俗的那种课程。,视频时长是比较长的，但是抖音的话它就太碎片化了，都都是短视频，比较浮躁。然后这个B站的这个收藏，嗯，然后这个分类会比较清晰吧。然后抖音他每一天点赞收藏的视频太多了，所以。你就感觉找也找不到，就是不够清晰这样子。他的这个内容更加的丰富，更加的专业性。丰富，然后专业，而且方便找到。这个氛围也很好，也比较就是打开这个东西，你不会觉得有一种负担，就不是很严肃性的那种。通俗易懂性和多样性。如果是要找素材的话，我会首选小红书。然后，如果是我要习得一个技能的话，我还是会选择B站。如果是针对那种单个的知识点的话，我还是会选择小红书。然后选择我还是想要真正了解这个东西，而不是说就记一下，然后知道这个单个的片面的知识点的话，我还是会选择B站。,引导性，重要性占我学习的这个35%。辅助拓展补充。主要就是补充知识点吧，补充知识点，然后扩充知识面。但是对于我主要的知识框架构建的话，应该是没什么用，因为是我主动搜索的。,自学能力和特定领域的专业技能吧。,首先他有那种成就感，因为它不是一个复杂的，就不是一个很难，就是他他一般会讲的很通俗，对吧。然后其次你打开这个B站这个软件不一定就是学习的，就不会像是说什么慕课那种打开就是学那种是你自己选择的，有一种自己驱动。种就是内在驱动力去学习的这样一种感觉，就会减少这种学习的焦虑。而且，你在课上没有弄懂的问题，你想着还能去B站学习，又觉得自己减轻了一个学习压力，感觉很棒。Up主风格他也讲的肯定是那种又专业又有趣的那种感觉。嗯，然后评论区氛围也很有意思，就是弹幕的氛围很和谐，不会有那种对立的那种言论。我感觉还挺好的，都是友好讨论。,通俗有趣，可习得性比较高。对我的意义是我可能会常年的使用它，然后并且把它当做一个很好的工具去去使用，但是它又没有一个成瘾性，所以它非常不错。,有的内容是参差不齐的。因为有的up主虽然学习了很专业的封面啊，或者说是那种讲解方式，但是他其实知识还是没有能够讲解的很通，就是自己的知识水平不够，但是他学的比较权威。这种就会有一种误导性，但是其他的方面，我觉得B站不够的话，还是我的流量不够。,可以就是在知识区里面分区的更加就清晰一些。然后，可以就是因为它很权威的那种内容还是很多的。然后，你可他可以根据就是在知识区里面他就可以分的更细一点。然后，也可以更系统性一点，就不用大家主动去搜索，也可以去让让让引导他们去发现一个新的内容。
24,平时不太繁重,相关网课，购买专业书籍,时间比较自由，还能反复看,目标驱动型吧我是，喜欢系统学习,大一开始用的吧，有考试的时候一天能看两三个点，没考试的话其实不太用,最初是用它追动漫的，现在一天不到一个点吧花在B站上,1h,看我担的视频，再就是学习了,50%吧,大一期末,学高数上,主要是期末考试课程，高数啊微观宏观这种,考试初级会计考试前一天学经济法，找了一个速通的总结课听,初次学习该门课程时，或者学计算机这种新技能,评论区最大吧,做笔记，看课程列表，截图,讲的比较通俗易懂，涵盖面也比较广，老师讲的更细致，易懂，全面一些，比如微经，慕课讲的就很僵硬纯在念ppt，但Ｂ站可以选择的up主也比较多，能找到适合自己的，成本也低。讲一个内容的Up主比较多，这样选择性就比较多,会去小红书搜推荐的学习渠道，一般在评论区哪种方式回馈较好我就用哪个,辅助性的资料库,自学能力，筛选能力有提升，短时间内能学完很多内容，完全是自学[心碎]，也能筛选出一些适合自己的Up主。有的，B站有一些理解的切入点很新奇，很方便记忆，思维方式也可以形成思维导图的方式来掌握,学到有效知识会有“发现宝藏”的惊喜感，看到很多人都在学有一种“归属感”。B站不有那个“xxxx人正在看”嘛，就会有这种感觉诶,免费优质，多元兼容,容易分心，动不动就刷视频或者聊天去了，这个我会开勿扰或者换用没什么娱乐软件的pad听,能引进更多的课程就更好了，比如之了课堂，刘晓燕英语转播哈哈哈
25,是,上课听讲，课后去b站补充，通过购买的网课学习,因为比较方便也相对来说简单能找到,目标驱动型,是从大一开始使用，基本只在考试前会有高频率的使用,最初是用来看一些玩具和汽车测评的，b站目前最吸引我的就是一些车评人发的视频，每天大概会花一个半小时左右在b站上，考试前可能时间会更长,1.5h,学习（专业课知识）和娱乐（玩具和汽车测评），娱乐居多,大概40%,是在大一上学期准备考土壤学之前，因为上课内容太对太杂，希望能找到较为系统的知识总结，所以上的b站,看到别人用b站上课所以我也去试了试,与专业课和兴趣相关,复习或者拓展视野,如果是学习相关的话我会直接搜索课程名称,我会通过视频封面，点进视频快进到一半看是否枯燥来判断内容质量。笔记、收藏、倍速、合集、课程列表,最大的帮助就是我不用自己一点点整理了，有人能帮我把所有的东西大概整理好，我的复习压力会小很对,没用过mooc，专业教育平台是我用来考研的和我的专业课考试没关系,便利性和成本，up的讲解风格，更年轻化，趣味性也不错，反正我觉得mooc太正式了，b站会好一点，mooc就有种高中听回放的感觉,主要学习平台,知识面更广,有趣,高效,容易分心，学习过程中适当休息，或者屏蔽无关信息弹出,
