code_name,definition,theme,source_question,frequency_in_question,representative_quotes
沉浸式游玩,描述一种高度投入的游戏状态，常常伴随忽略时间（如熬夜）或外部环境的行为。,游玩投入状态,多久玩一次,2,"['一有空就沉浸在这个奇妙的游戏世界里', '有时候熬夜盖房子']"
自控力挑战,玩家意识到过度游戏带来的负面影响，但在主观上感觉“忍不住”，体现了游戏沉浸感与现实责任间的冲突。,游玩投入状态,多久玩一次,1,['第二天上课犯困，但是忍不住']
社交增强频率,与朋友联机时，游戏的频率和时长会增加。,游戏频率的驱动与调节因素,多久玩一次,1,['特别是和朋友联机的时候，经常玩到凌晨']
不固定频率,玩家没有固定的游戏频率模式。,游戏频率的驱动与调节因素,多久玩一次,1,['不固定']
固定游玩时长,玩家提及每次游戏过程的持续时间。,游玩投入状态,多久玩一次,2,"['每次 1-2 小时', '每次2小时左右']"
未提供频率信息,回答未包含与游戏频率相关的信息。,N/A,多久玩一次,1,['初一开始的，被朋友拉着一起玩。']
偏好品类 (射击/FPS),玩家明确表示喜欢或常玩第一人称射击（FPS）或泛射击类游戏。,玩家游戏画像,你平时都玩哪些游戏,6,"['射击枪战，射击游戏', '射击类游戏']"
偏好品类 (MOBA),玩家提及玩多人在线战术竞技游戏，如《王者荣耀》、《英雄联盟》。,玩家游戏画像,你平时都玩哪些游戏,0,[]
偏好品类 (模拟经营),玩家提及玩模拟经营、养成或烹饪类游戏。,玩家游戏画像,你平时都玩哪些游戏,2,"['休闲模拟经营类游戏', '煮饭游戏']"
偏好品类 (RPG),玩家提及玩角色扮演游戏。,玩家游戏画像,你平时都玩哪些游戏,1,['角色扮演游戏']
偏好品类 (独立游戏),玩家明确表示喜欢或常玩独立游戏。,玩家游戏画像,你平时都玩哪些游戏,1,['独立游戏']
偏好品类 (解谜),玩家明确表示喜欢或常玩解谜游戏。,玩家游戏画像,你平时都玩哪些游戏,1,['解谜游戏']
偏好品类 (策略/烧脑),玩家提及喜欢需要深度思考和策略规划的游戏。,玩家游戏画像,你平时都玩哪些游戏,1,['烧脑的游戏']
偏好品类 (体育竞技),玩家提及玩以现实体育项目为基础的电子游戏。,玩家游戏画像,你平时都玩哪些游戏,1,['篮球游戏，足球游戏']
偏好品类 (主机游戏),玩家提及在游戏主机上进行游戏。,N/A,你平时都玩哪些游戏,1,['主机类的联机游戏']
游戏涉猎少,玩家表示平时不怎么玩游戏，或只玩极少数几款游戏。,玩家游戏画像,你平时都玩哪些游戏,1,['我平时不怎么玩游戏']
广泛游戏涉猎,玩家列举了大量不同类型和平台的游戏，显示其游戏经验丰富。,玩家游戏画像,你平时都玩哪些游戏,1,['英雄联盟；使命召唤；瓦罗兰特；三角洲行动；战地1；战地5；黑神话悟空；赛博朋克2077；极品飞车21；极品飞车22；部落冲突；Apex；守望先锋；我的世界；GTA5；极限国度；泰坦陨落2；星露谷物语；WRC7；']
MC为主要游戏,玩家表示《我的世界》是其玩得最多或最久的游戏，在其游戏生活中占据核心地位。,《我的世界》的特殊定位,你平时都玩哪些游戏,2,"['MC是我玩得最久的', '主要玩 MC']"
MC忠实玩家,玩家明确表示只玩《我的世界》，对其他游戏兴趣不大。,《我的世界》的特殊定位,你平时都玩哪些游戏,1,['只玩 MC']
与MC对比 (解压放松),玩家将《我的世界》的体验（如盖房子）与其他游戏对比，并视其为一种有效的解压方式。,《我的世界》的特殊定位,你平时都玩哪些游戏,1,['玩来玩去最后还是回MC盖房子最解压']
与MC对比 (高自由度),玩家在与其他游戏对比时，明确指出《我的世界》的“自由”是其核心吸引力。,《我的世界》的特殊定位,你平时都玩哪些游戏,1,['MC 比较自由，想怎么玩就怎么玩']
与MC对比 (自由创造),玩家强调《我的世界》与其他游戏的不同在于其“创造”属性。,《我的世界》的特殊定位,你平时都玩哪些游戏,1,['因为喜欢自由创造的感觉']
与MC对比 (实现想象),玩家认为《我的世界》提供了一个能将现实中无法实现的想法变为现实的平台。,《我的世界》的特殊定位,你平时都玩哪些游戏,1,['在 MC 里能实现现实中做不到的事，比如盖空中城堡']
提及具体游戏,玩家在回答中提到了具体的商业游戏名称。这是一个通用编码，具体游戏名称在初始编码中体现。,玩家游戏画像,你平时都玩哪些游戏,0,[]
社交驱动,主要因朋友的邀请或陪伴而进行游戏，社交是开启游戏的关键前提。,社交驱动：与人同乐,在什么情况下会选择玩我的世界,12,"['朋友约联机：开生存服一起打末影龙，或者玩躲猫猫这类小游戏', '和朋友联系的时候，如果我朋友来找我，那我会玩']"
情绪调节 (排解无聊),在感到无聊、没事可做时，将游戏作为一种填充时间的手段。,情绪调节：作为心境避风港,在什么情况下会选择玩我的世界,6,"['实在是无聊的时候会玩一会儿', '在非常非常无聊的情况下会玩']"
情绪调节 (寻求放松),在需要放松或从紧张状态（如学习后）解脱时，主动选择游戏作为休闲方式。,情绪调节：作为心境避风港,在什么情况下会选择玩我的世界,4,"['想要放松的时候吧', '想悠闲一下的时候']"
情绪调节 (缓解压力),在面临现实压力时，通过游戏内的重复性、建设性行为来减轻心理负担。,情绪调节：作为心境避风港,在什么情况下会选择玩我的世界,2,"['压力很大的时候盖个小木屋，挖挖矿特别解压，听着背景音乐能忘记烦恼', '心里有烦恼，就狂盖房子，把方块当 “压力” 砸下去，盖完就舒服了']"
情绪调节 (负面情绪宣泄),在经历挫折或心情不好时，通过游戏内的简单、破坏性行为来发泄情绪。,情绪调节：作为心境避风港,在什么情况下会选择玩我的世界,1,['有时候考试没考好，就进游戏砍树，然后听着方块“咚咚”的声音，心情会好很多，就是一种发泄方式吧']
情绪调节 (寻求怀旧),在回忆过去时，通过玩游戏来重温当年的情感和记忆。,情绪调节：作为心境避风港,在什么情况下会选择玩我的世界,1,['在回忆过去的时候']
灵感驱动 (创造欲),因内心突然产生的创造性想法或建设计划而开始游戏。,目标与灵感驱动：内在创造力的召唤,在什么情况下会选择玩我的世界,2,"['想建房子', '突发奇想']"
灵感驱动 (模仿创作),因在社交媒体上看到他人的优秀作品，受到启发而产生模仿或学习的动机。,目标与灵感驱动：内在创造力的召唤,在什么情况下会选择玩我的世界,1,['在社交平台，比如b站和抖音等这类平台，如果看到各类我的世界大佬建造的地图，我也会想着去模仿']
探索新内容,因游戏版本更新、新模组或自己感兴趣的新内容而驱动自己回到游戏中探索。,目标与灵感驱动：内在创造力的召唤,在什么情况下会选择玩我的世界,2,"['mc出了什么我感兴趣的新内容或者mod', '发现跟我之前玩的时候他更新了很多']"
任务驱动 (学业),因现实生活中的特定任务（如学校作业）需要而进入游戏获取素材或完成目标。,目标与灵感驱动：内在创造力的召唤,在什么情况下会选择玩我的世界,1,['我前一阵那个音频课作业，我想到可以拿我的世界的那个音频来做，然后我就进游戏里去录那个音频']
环境限制,游戏的选择受到物理环境或设备条件的制约，如只能在有电脑时、只有手机时或离线时玩。,情境与环境限制：天时地利的游玩,在什么情况下会选择玩我的世界,0,[]
特定时间段,在特定的、固定的时间段内进行游戏，如周末、夜晚或时间充裕时。,情境与环境限制：天时地利的游玩,在什么情况下会选择玩我的世界,0,[]
特定氛围,在某种特定的环境氛围下（如雨天宅家）玩游戏会更有感觉。,情境与环境限制：天时地利的游玩,在什么情况下会选择玩我的世界,0,[]
寻求特定体验,为了体验游戏中某种独特的乐趣（如自由、探索）而选择玩这款游戏。,目标与灵感驱动：内在创造力的召唤,在什么情况下会选择玩我的世界,0,[]
备选游戏选择,在没有其他更想玩的游戏时，将《我的世界》作为一个可靠的备选方案。,社交驱动：与人同乐,在什么情况下会选择玩我的世界,1,['没什么其他游戏可玩的时候']
对单人模式兴趣低,玩家明确表示自己一个人玩会感到无聊，对单人模式的兴趣不高。,社交驱动：与人同乐,在什么情况下会选择玩我的世界,1,['自己很少玩，因为感觉一个人玩会有点无聊']
受约束的游玩_1,游戏行为受到外部环境（如家长）的潜在限制，导致需要秘密进行。,情境与环境限制：天时地利的游玩,在什么情况下会选择玩我的世界,1,['关上门偷偷玩']
区别于竞技游戏,玩家将《我的世界》的放松特性与竞技类游戏的紧张费脑进行对比，并因此做出选择。,情绪调节：作为心境避风港,在什么情况下会选择玩我的世界,1,['不像竞技游戏之类的会费脑子']
自我评估 (高),玩家使用“高手”、“非常熟悉”、“骨灰级”等词语，或通过具体成就，明确表达对自己游戏水平的高度自信。,玩家技能的自我定位,你觉得你对这个游戏的熟悉程度/游戏等级如何,5,"['非常熟悉了，自称生存类大师也不为过', '比较熟悉，算是高手']"
自我评估 (中),玩家使用“熟练”、“还行”、“一般”等中性词汇来评价自己的游戏水平。,玩家技能的自我定位,你觉得你对这个游戏的熟悉程度/游戏等级如何,0,[]
自我评估 (低),玩家使用“菜鸟”、“刚入门”、“小白”、“新手”等词语，明确表示自己的游戏水平不高。,玩家技能的自我定位,你觉得你对这个游戏的熟悉程度/游戏等级如何,7,"['我其实对这个游戏的了解程度不是很高', '熟悉程度一般般，就是新手水平']"
自我评估 (量化),玩家使用具体的数字或分数来量化自己的游戏水平。,玩家技能的自我定位,你觉得你对这个游戏的熟悉程度/游戏等级如何,0,[]
矛盾的自我评估,玩家的自我评估包含冲突信息，如自认为是“小白”但又接受“骨灰级”的称号。,玩家技能的自我定位,你觉得你对这个游戏的熟悉程度/游戏等级如何,1,['自己觉得是一个小白，那你给我按骨灰级算吧']
知识领域 (精通生存),玩家明确表示自己对生存模式的玩法（如建造、挖矿、打怪）非常熟悉。,技能掌握的领域化差异,你觉得你对这个游戏的熟悉程度/游戏等级如何,5,"['生存模式挺熟的，能自己盖房子、挖矿、养动物', '生存模式挺熟的，能自己盖房子、挖矿、养动物']"
知识领域 (精通创造),玩家明确表示自己对创造模式的玩法非常熟悉。,技能掌握的领域化差异,你觉得你对这个游戏的熟悉程度/游戏等级如何,1,['我创造创造模式是比较熟悉']
知识领域 (红石短板),玩家明确指出红石电路是自己的知识盲区或弱点，尽管可能精通其他方面。,技能掌握的领域化差异,你觉得你对这个游戏的熟悉程度/游戏等级如何,4,"['红石电路试过几次，想做自动门，但是没成功', '红石电路试过几次，想做自动门，但是没成功']"
知识领域 (不熟新内容),玩家的知识局限于游戏的基础或早期版本，对后续更新的内容不了解。,认知深度与知识时效性,你觉得你对这个游戏的熟悉程度/游戏等级如何,2,"['但它现在更新的那些模组我就不是很熟悉了', '后来更新换代的东西就不了解了']"
时长与技能分离,玩家意识到或表达出“玩得久”不等于“玩得好”的观点。,认知深度与知识时效性,你觉得你对这个游戏的熟悉程度/游戏等级如何,2,"['虽然我记得很烂吧，但是我也是从小睁眼就开始玩的', '玩儿的时间挺长的，但是一直都是最浅的']"
技能佐证 (依赖攻略),玩家需要依靠外部攻略或教程来进行游戏，以此作为自己水平不高的证明。,认知深度与知识时效性,你觉得你对这个游戏的熟悉程度/游戏等级如何,1,['需要靠一些攻略']
技能佐证 (精通游戏机制),玩家通过列举具体的高阶能力（如速通、熟悉合成表、了解冷门知识）来证明自己的高水平。,认知深度与知识时效性,你觉得你对这个游戏的熟悉程度/游戏等级如何,1,"['生存模式闭着眼睛都能速通末地，也很熟悉合成表，包括冷门物品像""锁链盔甲""这种']"
探索深度不足,玩家认为自己虽然玩了很久，但对游戏的探索仅停留在浅层，没有深入研究。,认知深度与知识时效性,你觉得你对这个游戏的熟悉程度/游戏等级如何,1,['没有深入探究']
低难度感知,玩家认为游戏本身玩法不难，容易上手。,认知深度与知识时效性,你觉得你对这个游戏的熟悉程度/游戏等级如何,2,"['这个游戏玩法也没什么难的', '我挺了解游戏玩法的']"
高难度感知,玩家认为游戏的某些方面（特指红石）难度非常高，如同做数学题。,认知深度与知识时效性,你觉得你对这个游戏的熟悉程度/游戏等级如何,1,['感觉像数学题，太复杂了']
