code_name,definition,theme,source_question,frequency_in_question,representative_quotes
功能 (生存/建造基础),从功能主义角度看，创造性（如合成、建造）是完成游戏基本生存和发展任务所必需的能力。,生存之本：作为功能性的必要条件,你觉得创造性在这个游戏中重要吗？为什么？,1,['需要你通过各种方块去建造制作不同的生存工具和建筑']
功能 (带来情感回报),创造性活动是获得成就感、满足感等积极情感回报的主要途径。,N/A,你觉得创造性在这个游戏中重要吗？为什么？,2,"['当靠自己的创意...这种成就感会更想发挥创意', '还能让玩家在创造的过程中获得成就感和满足感']"
重要性 (进阶需求),将创造性视为一种更高层次的需求，在满足了基本的生存温饱后变得尤为重要，是提升游戏“生活质量”的关键。,价值最大化：作为潜能的释放器,你觉得创造性在这个游戏中重要吗？为什么？,1,['重要，解决温饱之后重要']
功能 (区分玩家层次),创造力是区分初级玩家和高级玩家的重要标志，体现了玩家对游戏理解的深度。,价值最大化：作为潜能的释放器,你觉得创造性在这个游戏中重要吗？为什么？,2,"['可能我玩的就是搭房子做饭游戏，他们可能玩的就是编程以及什么', '有人只能搭出火柴盒，有人却能还原故宫']"
重要性 (辩证视角),玩家用辩证的观点看待创造性的重要性，承认其对于玩法扩展至关重要，但对于某些纯体验型玩家（如观光）则非必需。,N/A,你觉得创造性在这个游戏中重要吗？为什么？,1,['重要也没有创造性这个游戏不可能有这么多玩法这么多可能性，不重要是因为你就算什么都不想创造只是想在游戏里看看风景爬爬山也完全可以']
创作类型 (功能性建筑/装置),指为了满足生存、生产或特定功能需求而进行的创作，如农场、牧场、刷怪塔、水电梯等。,生存驱动的实用主义建设,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,0,[]
创作类型 (住宅),指以居住为主要目的的建筑创作，从简单的小屋、火柴盒到温馨的别墅。,表达自我的建筑艺术,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,0,[]
创作类型 (大型工程),指规模宏大、耗时耗力的建筑项目，如宫殿、隧道、大型雕塑、世界之树等。,表达自我的建筑艺术,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,0,[]
创作类型 (想象/主题建筑),指基于想象力或特定主题的、超越常规的建筑，如水下/空中建筑、汉堡房、死亡游乐园等。,表达自我的建筑艺术,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,0,[]
创作类型 (现实复刻),指在游戏中按比例或风格，重现实生活中的具体建筑或场景。,表达自我的建筑艺术,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,1,['把我们高中的建筑在mc中1：1还原']
创作过程 (原创设计 vs. 教程模仿),描述创作灵感的来源，是完全依赖个人想象，还是参考或模仿了外部的教程和视频。,创作的叙事与过程体验,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,0,[]
创作过程 (因地制宜),创作时充分利用和改造了游戏内的自然地形，如山体、洞穴、海岛等。,创作的叙事与过程体验,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,0,[]
创作过程 (渐进式开发),创作并非一蹴而就，而是随着时间推移，从小到大、逐步扩建和完善的过程。,创作的叙事与过程体验,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,2,"['起初只是想建一个别墅生存 后来慢慢探索地形扩大还建了桥', '先围了一个大概框架，然后一层一层往上搭的嘛']"
创作背景 (社交合作/娱乐),创作是在与朋友一同游戏的背景下进行的，通常涉及合作、分工或以娱乐、整蛊朋友为目的。,创作的叙事与过程体验,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,0,[]
创作技术 (红石/命令方块),创作中运用了游戏内偏技术向的系统（如红石电路、命令方块）来实现自动化或交互功能。,技术驱动的奇观巧计,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,0,[]
创作叙事 (意外与挫败/补救),在创作过程中发生的意外事件（如被怪物破坏、操作失误）及其带来的负面情绪和后续的补救行为。,创作的叙事与过程体验,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,0,[]
创作情感,在创作过程中或完成后体验到的各种情感，如温馨、有趣、满足、恐惧、孤独、愤怒等。,创作的叙事与过程体验,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,0,[]
创作动机,驱动玩家进行创作的内在原因，如资源需求、效率提升、审美表达、社交分享或构建理想世界。,创作的叙事与过程体验,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？,0,[]
来源 (视频平台/教程),创作灵感直接来源于视频网站或短视频平台上的内容，特别是建筑教程或作品展示。,媒介再现：从屏幕到方块的转译,创作这个作品的灵感来自哪里？,2,"['看短视频里的建筑教程', '刷短视频看到的']"
来源 (现实世界),灵感来源于现实生活中的具体地点、事物、经历或家乡环境。,现实投射：从生活到游戏的映照,创作这个作品的灵感来自哪里？,0,[]
来源 (媒体/影视动漫/小说),灵感来源于游戏之外的媒体作品，如电影、电视剧、动漫、小说等。,媒介再现：从屏幕到方块的转译,创作这个作品的灵感来自哪里？,0,[]
来源 (内在/想象与思考),灵感被描述为源于玩家自身的想象、思考、突发奇想，或被认为是与生俱来的天赋。,内在涌现：想象与突发的灵光,创作这个作品的灵感来自哪里？,0,[]
来源 (社交互动),创作灵感产生于和朋友的互动之中，如朋友的直接提议、共同经历或头脑风暴。,社交催化：源于同伴的共同创造,创作这个作品的灵感来自哪里？,0,[]
来源 (游戏内生),灵感产生于与游戏本身的互动，如被游戏自动生成的地形或建筑所启发，或对游戏美术风格的解构与再创作。,游戏内生：发掘于方块世界本身,创作这个作品的灵感来自哪里？,0,[]
来源 (其他游戏),创作灵感来源于另一款电子游戏的内容或玩法。,媒介再现：从屏幕到方块的转译,创作这个作品的灵感来自哪里？,1,['看了《监狱建筑师》的游戏视频']
动机 (模仿与变通),看到他人优秀作品后，产生模仿的动机，即使无法完全复刻，也会尝试创造类似但更简单的版本。,N/A,创作这个作品的灵感来自哪里？,3,"['我其实没有这么多创造力啊，但是我可以造一个超级大的也不错', '我也想建一个']"
动机 (场景还原),玩家的目标是精确地在游戏中重现媒体作品中的特定场景。,N/A,创作这个作品的灵感来自哪里？,1,['就是还原电影场景']
动机 (解决游戏内困难),创作的直接动机是为了解决在游戏过程中遇到的具体问题或挑战（如害怕打怪）。,N/A,创作这个作品的灵感来自哪里？,1,['我在自己生存时候很害怕自己去打怪物，所以就想起来然后模仿了']
创作倾向 (主动),玩家将创作视为游戏的核心活动，其创作行为主要由内在意愿、习惯或提升体验的追求所驱动。,主动型创造者：内在驱动的表达者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,20,"['不止搭一个床，我会造一个比较漂亮的小屋子', '我一般打开这个游戏就会开始建新的房子']"
创作倾向 (必要时),玩家的创作行为主要由外部需求驱动，是在为了生存、安全或获取资源等必要情况下才进行的活动。,反应型创造者：需求驱动的问题解决者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,3,"['必要的时候，一般是需要的时候创作一些东西', '我一般不会在主动的时候建']"
创作倾向 (混合型),玩家的创作倾向并非固定不变，而是根据特定情境（如生存阶段、社交状态、有无灵感）在“主动”和“必要时”之间切换。,情境型创造者：随境而变的适应者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,5,"['在不跟朋友玩的时候几乎没什么创造力...在跟朋友玩的时候...我也要去造', '在实现“财富自由”后...算是主动去创作吧']"
动机 (满足生存需求),创作的直接原因是为了获取生存所必需的物资，如食物、皮革、铠甲等。,反应型创造者：需求驱动的问题解决者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,1,['我需要那个东西...所以我才需要去挖矿...我需要肉和皮革什么的，所以我才去造农场']
动机 (提升沉浸感/审美),创作超越了基本需求，旨在创造一个更美观、更具沉浸感的游戏环境。,主动型创造者：内在驱动的表达者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,0,[]
动机 (玩家中心论/游戏本质论),认为主动创作是游戏的应有之义，因为游戏本身就是以玩家为中心、以创造为过程的。,主动型创造者：内在驱动的表达者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,0,[]
动机 (前瞻性准备),主动创作是为了提前准备好未来会用到的工具或设施，具有计划性和预见性。,主动型创造者：内在驱动的表达者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,1,['提前就得你就得把稿子和斧头什么都做出来']
动机 (内在习惯),主动创作已经成为一种习惯性行为，例如“看着空地难受”或“一开游戏就想建房子”。,主动型创造者：内在驱动的表达者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,2,['不然看着空地难受，就是喜欢规划这些']
触发条件 (灵感驱动),创作行为由突发的灵感或外部创意刺激（如看到他人作品）所触发，表现为间歇性、高强度的创作爆发。,情境型创造者：随境而变的适应者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,3,"['平时生存模式盖个普通农场都懒得装修，但要是突然看到...就会像打了鸡血一样', '突然想到什么，然后就直接去创造它']"
触发条件 (社交驱动),创作行为的启动和持续与社交场景强相关，尤其是在与朋友一同游戏时。,情境型创造者：随境而变的适应者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,2,"['更重要的是我怎么在这里面和你互动', '和朋友一起创作']"
触发条件 (环境威胁),因游戏环境中的危险（如夜晚的怪物）而产生建造庇护所等必要性创作。,反应型创造者：需求驱动的问题解决者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,1,['在野外晚上会有很多怪物，会因为这个去搭建房子保护自己']
创作模式 (分阶段),玩家的创作模式分为不同阶段：先生存后发展，即先进行必要性创作，在生存无忧后转向主动性、探索性创作。,情境型创造者：随境而变的适应者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,2,"['首先...主动会写一些资本东西...然后我就会被动的出这些东西', '实现“财富自由”后，开始...琢磨一些没什么用的东西']"
创作模式 (分对象),玩家对不同创作物采取不同的倾向，如主动建造房子，但只在必要时才制作其他物品。,情境型创造者：随境而变的适应者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,1,[]
创作模式 (迭代优化),创作是一个持续优化的过程，从一个简单的基础开始，然后不断地进行改造和完善。,主动型创造者：内在驱动的表达者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,1,['就是慢慢优化，从不一次性盖完']
创作模式 (预先规划),在游戏内创作前，会进行周密的离线规划，如绘制草图。,主动型创造者：内在驱动的表达者,你一般是主动去创作一些东西，还是在必要的时候去创作东西？,1,['在游戏里按比例搭']
偏好阶段 (构思),玩家享受创作初期的想象、规划和设计过程，此阶段充满了无限的可能性。,思想的乐趣：享受构思与规划,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,7,"['构思怎么搭还是蛮有意思的', '我更享受构思的过程吧']"
偏好阶段 (搭建),玩家享受将想法付诸实践、一砖一瓦地进行建设的过程，常常伴有沉浸感和见证事物成型的乐趣。,劳作的沉浸：享受搭建与实现,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,12,"['建造的过程，一步一步把它落实出来，建设出来的那种过程', '搭房子的时候最爽，一块一块堆起来，像搭积木一样']"
偏好阶段 (完善/装饰),玩家享受对创作物进行后期加工和细节填充的过程，如装修、装饰、添加灯光，以此赋予作品生命感和精致感。,画龙点睛：享受完善与装饰,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,5,"['装修房子的时候最享受！', '特别是装窗户和地毯']"
偏好阶段 (展示/欣赏成果),玩家的乐趣主要来源于创作完成后的那一刻，通过欣赏、审视自己的作品获得成就感和满足感。,成果的喜悦：享受展示与欣赏,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,4,"['搭建完了以后我自己在建筑周围走走跳跳参观自己的建筑', '展示做完，然后呈现出来的效果就比较享受']"
偏好阶段 (分享),玩家将与他人分享自己的创作视为一个重要且享受的环节。,成果的喜悦：享受展示与欣赏,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,1,['分享（的过程）']
偏好阶段 (全部),玩家享受从构思到完成的整个创作过程，不偏好于某一特定阶段。,流动的创造：享受全过程与意外之喜,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,3,"['四种全是我享受的过程', '我享受创作的所有部分']"
偏好阶段 (转化/涌现),玩家享受从构思到搭建的转化过程，特别是当创作中出现意料之外的、比原计划更有趣的变化时。,流动的创造：享受全过程与意外之喜,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,0,[]
偏好阶段 (前置准备/构想),玩家的乐趣集中在为搭建做准备（如收集材料）的过程中，因为这个阶段伴随着对最终成品的想象和憧憬。,思想的乐趣：享受构思与规划,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,1,['非要说的话，其实是收集材料...你收集的时候你可能会想象着你，你在脑海里会画一个蓝图']
核心乐趣 (社交互动),在特定阶段（尤其是搭建）中，与朋友的交流和合作是乐趣的主要来源。,劳作的沉浸：享受搭建与实现,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,1,['创作过程中我们一些交流合作都特别有意思']
核心乐趣 (见证成型),看着创作物从无到有、逐渐成型的过程本身带来了巨大的满足感。,劳作的沉浸：享受搭建与实现,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,1,['看着它逐渐成型...这种从无到有的过程特别满足']
核心乐趣 (沉浸感),在创作过程中体验到的完全投入、忘记时间的状态。,劳作的沉浸：享受搭建与实现,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,1,['我会非常沉浸于其中']
核心乐趣 (赋予生命感/家的感觉),通过装饰和细节添加，让建筑产生“人味”或“家”的感觉，是乐趣的来源。,画龙点睛：享受完善与装饰,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,0,[]
核心乐趣 (低认知负荷的创造),享受那些既能发挥创意，又不需要消耗过多脑力的创作环节，如完善和填充细节。,画龙点睛：享受完善与装饰,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,1,['完善的过程又可以往里面填很多细节可以创造，又不需要耗太多脑子']
对创作过程的负面感知,玩家对整个创作过程持有负面或矛盾的态度，认为其充满痛苦和烦躁，但又不得不为之。,N/A,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,1,['其实没有享受的...就很烦']
创作阶段的挑战,玩家在某一创作阶段（如构思或搭建）会遇到具体的困难，如缺乏创意或执行力不足导致“烂尾”。,N/A,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）,0,[]
哲思 (抽象概念),玩家将游戏中的具体行为（如建造、合作）抽象化，并引申到对现实生活中宏大概念（如努力、时间、美学、团队协作）的思考。,游戏作为现实的哲学映射,在自由创造的过程中是否有一些时刻会引发你的深思？能描述一下吗？,0,[]
哲思 (虚拟与现实),游戏体验促使玩家思考虚拟世界与现实世界的区别与联系，如虚拟家园的情感温度、虚拟世界的美好与留恋等。,虚拟世界中的存在主义审视,在自由创造的过程中是否有一些时刻会引发你的深思？能描述一下吗？,3,"['MC 里的房子再漂亮，也不如现实中的家有温度...虚拟和现实的区别吧', '突然觉得这游戏挺神奇的，像另一个世界一样']"
哲思 (创作的目的性),在孤独的创作环境中，玩家开始思考和质疑在无人见证的情况下进行创造的意义和目的。,虚拟世界中的存在主义审视,在自由创造的过程中是否有一些时刻会引发你的深思？能描述一下吗？,1,['你不知道你创作的目的，好像没有创作的目的']
反思创造力与自我,游戏过程引发了玩家对“创造力”本质（如自由与限制的关系）的思考，以及对自己创造能力的审视和评价（通常是感到局限）。,创造力与自我的认知反思,在自由创造的过程中是否有一些时刻会引发你的深思？能描述一下吗？,0,[]
反思身份与道德,玩家在游戏中代入不同身份（如冒险家、国王），并对自己在虚拟世界中的某些行为（如虐待NPC）进行道德上的反思。,虚拟世界中的存在主义审视,在自由创造的过程中是否有一些时刻会引发你的深思？能描述一下吗？,0,[]
联想现实生活,玩家将游戏中的创作或体验直接与自己的现实生活联系起来，视其为现实的缩影、对未来的规划或对理想生活的向往。,游戏作为现实的哲学映射,在自由创造的过程中是否有一些时刻会引发你的深思？能描述一下吗？,0,[]
引发情感,游戏中的场景或创造过程直接触发了玩家深层的情感，如怀旧、想家、孤独或留恋。,虚拟世界中的存在主义审视,在自由创造的过程中是否有一些时刻会引发你的深思？能描述一下吗？,0,[]
获得现实性知识,玩家通过游戏中的实践，学习和理解了一些现实世界中也适用的物理或生活常识（如木头漏水）。,N/A,在自由创造的过程中是否有一些时刻会引发你的深思？能描述一下吗？,1,['发现原来木板会漏水...我就知道可能这样的材料不太适合在屋顶']
无深度思考,玩家明确表示在游戏过程中不会进行深层次的思考，更注重直观的体验、情感或娱乐性。,纯粹体验：深思的缺席,在自由创造的过程中是否有一些时刻会引发你的深思？能描述一下吗？,5,"['没有', '没有']"
