code_name,definition,theme,source_question,frequency_in_question,representative_quotes
偏好创造模式,玩家明确表示更偏爱或主要玩创造模式。,N/A,最吸引你的玩法是什么/为什么喜欢这种玩法,6,"['创造模式熟练，能盖复杂的建筑', '创造多一点，修点好玩的东西']"
偏好极限模式,玩家明确表示更偏爱或主要玩极限模式。,N/A,最吸引你的玩法是什么/为什么喜欢这种玩法,1,['极限模式，死亡后没法复活']
机制不满 (旧世界不更新),对游戏版本更新后，已探索区域无法生成新内容的机制感到不满，导致玩家在保留旧存档和体验新内容之间陷入两难。,核心机制与技术限制,这个游戏最不喜欢/不满意的玩法是什么？为什么,3,"['更新后老地图不会刷新新方块...得重新开地图，但是老地图里盖了很多东西，舍不得删', '它后续版本更新的话，你探索的这些世界，它的东西就固定了，不会有新生成的版本内容']"
体验不满 (单人模式孤独感),玩家认为单人模式过于孤独和无聊，缺乏互动感。,社交体验的困境,这个游戏最不喜欢/不满意的玩法是什么？为什么,2,"['感觉会很孤独，确实特别孤独', '单人玩太无聊了']"
画风不满 (不够写实),玩家对游戏的像素化、方块化的艺术风格不满意，认为其不够真实。,核心机制与技术限制,这个游戏最不喜欢/不满意的玩法是什么？为什么,2,"['像素化的游戏...不像...那么真实', '他不真实，画质稍微有点欠缺']"
内容不满 (怪物),对游戏中的怪物感到不满，原因包括恐怖、惊吓、形象不适或频繁滋扰。,游戏内容与平衡性缺陷,这个游戏最不喜欢/不满意的玩法是什么？为什么,0,[]
设计不满 (怪物数值失衡),玩家认为某些怪物的难度（数值）过高，与其掉落或击败后的成就感不成正比。,游戏内容与平衡性缺陷,这个游戏最不喜欢/不满意的玩法是什么？为什么,1,['坚守者，数值过于逆天的敌对生物']
设计不满 (系统不平衡/不经济),认为游戏内某些系统（如钓鱼、合成）的设计不合理，投入与产出不成正比，或随机性过高，体验不佳。,游戏内容与平衡性缺陷,这个游戏最不喜欢/不满意的玩法是什么？为什么,0,[]
玩法不满 (重复枯燥),认为游戏中的某些核心玩法（如挖矿）过于重复和枯燥，缺乏新鲜感。,游戏内容与平衡性缺陷,这个游戏最不喜欢/不满意的玩法是什么？为什么,0,[]
玩法不适 (高难度),认为游戏的某些模式或玩法难度过高，过程艰难，让人感到疲累。,玩家个体体验与门槛,这个游戏最不喜欢/不满意的玩法是什么？为什么,1,['有的玩法条件很苛刻，难度太高，感觉玩游戏太过于艰难了就很累']
玩法不适 (能力挫败),因个人能力或技巧不足（如不擅长建造），在特定玩法中感到挫败。,玩家个体体验与门槛,这个游戏最不喜欢/不满意的玩法是什么？为什么,0,[]
操作不满 (繁琐/复杂),对游戏中的某些操作感到不满，如建造时需要逐个放置方块，或需要输入并记忆复杂的指令。,玩家个体体验与门槛,这个游戏最不喜欢/不满意的玩法是什么？为什么,0,[]
体验不满 (联机障碍),在多人联机时遇到技术或社交层面的困难，如存档丢失、网络卡顿、好友时间难协调等。,社交体验的困境,这个游戏最不喜欢/不满意的玩法是什么？为什么,1,['联机玩也有糟心的点，房主一退，存档就没了，好友也难凑齐一起玩，想痛痛快快联机不太容易，还老卡退']
内容不满 (建造材料有限),认为游戏中提供的方块种类和材质不足，限制了建造时的表达能力。,游戏内容与平衡性缺陷,这个游戏最不喜欢/不满意的玩法是什么？为什么,1,['方块种类不够多！']
内容不满 (UGC质量参差),对服务器上由玩家自创的部分游戏（UGC）内容质量不满意，认为其体验不如原生玩法或其他同类游戏。,游戏内容与平衡性缺陷,这个游戏最不喜欢/不满意的玩法是什么？为什么,1,"['除了他本身的生存模式和创造模式之外的别的组件的玩法，有一些就是确实很无聊', '像比派对游戏又逊色，但是放到这里面就是混又混淆不清']"
生理不适 (头晕),玩家在游戏过程中会产生头晕等生理上的不适反应。,玩家个体体验与门槛,这个游戏最不喜欢/不满意的玩法是什么？为什么,1,['玩多了还会头晕']
无不满意之处,玩家明确表示对游戏没有不满意的地方。,高度满意,这个游戏最不喜欢/不满意的玩法是什么？为什么,7,"['没有，挺好的，我觉得', '没有什么不满意的']"
目标类型 (建造),玩家的主要目标是建造具体的建筑，如房子、基地等。,创造者：构建有形世界,你在这个游戏中主要想达成的目标是什么？,11,"['建造非常好看，非常有设计特点的房子', '完成自己的建设目标也很有意思']"
目标类型 (大型工程),玩家的目标是完成一项耗时巨大的、复杂的建造项目，如城市或城堡。,创造者：构建有形世界,你在这个游戏中主要想达成的目标是什么？,2,"['想盖完 “幻想中的城堡”', '造一个全自动的现代城市']"
目标类型 (收集/完成主义),玩家以集齐游戏中特定种类的所有物品（如方块、羊毛、怪物头）为目标。,完成主义者：征服与集齐,你在这个游戏中主要想达成的目标是什么？,3,"['想收集齐所有颜色的羊毛，放在箱子里当 “彩虹墙”', '想收集齐所有怪物的头']"
目标类型 (探索/完成主义),玩家以探索完游戏世界的全部内容、地图或特定模组为目标。,完成主义者：征服与集齐,你在这个游戏中主要想达成的目标是什么？,1,['探索冒险，把里面所有的内容都探索完']
目标类型 (通关/击败Boss),玩家将击败游戏的最终Boss（如末影龙）作为其主要目标。,完成主义者：征服与集齐,你在这个游戏中主要想达成的目标是什么？,1,['击败墨影？最终 boss']
目标类型 (角色扮演/模拟生活),玩家将游戏视为模拟人生的平台，目标是在其中生活、创造理想的环境。,体验者：沉浸于过程与成长,你在这个游戏中主要想达成的目标是什么？,2,"['当一个模拟人生，在游戏里想象成我是一个真实的人，在里面生活，建房子，然后不断拓展自己的领地', '创造一个梦中的生活环境吧']"
目标类型 (环境适应/生存),玩家的目标是根据开局的特定环境（如沙漠），利用有限资源生存下去。,体验者：沉浸于过程与成长,你在这个游戏中主要想达成的目标是什么？,1,['如果我刷新到沙漠，我就用沙子建一个房子...我就在沙漠生存']
目标类型 (技术实现),玩家的目标是成功搭建并运行复杂的技术装置，如红石机关。,创造者：构建有形世界,你在这个游戏中主要想达成的目标是什么？,1,['把机关顺利运行']
过程即目标 (成长体验),玩家享受的是从无到有、角色能力逐渐变强的过程，而非某个终点。,体验者：沉浸于过程与成长,你在这个游戏中主要想达成的目标是什么？,2,"['并没有什么特别明确的目标，主要就是白手起家，通过自己的努力奔向小康', '从啥都没有到建一个大别墅']"
过程即目标 (享受开荒),玩家认为游戏最有趣的阶段是刚开始一无所有、准备做某件事的时候。,体验者：沉浸于过程与成长,你在这个游戏中主要想达成的目标是什么？,1,['最好玩的时候反而是在你什么都没有...你想去做这个事的时候最好玩']
无明确目标 (享受过程),玩家没有具体的游戏目标，纯粹享受游戏过程中的各种活动。,体验者：沉浸于过程与成长,你在这个游戏中主要想达成的目标是什么？,2,"['没有具体的目的，纯享受过程', '不断建造自己喜欢的场景']"
目标设定短暂/易变,玩家会设立短期目标，但往往在达成前就失去兴趣或被其他事物吸引而中断。,体验者：沉浸于过程与成长,你在这个游戏中主要想达成的目标是什么？,1,['每次我可能想的是要不我建个房子吧，要不我下去我挖到钻石为止，但是每次都不会达成这个结局']
目标动机 (成就感),玩家追求完成目标后所带来的满足感和成就感。,核心动机：内在的情感回报,你在这个游戏中主要想达成的目标是什么？,3,"['每当看到自己的角色在游戏里逐渐强大起来，我就感到非常满足', '有成就感和满足感']"
目标动机 (自我满足),玩家的目标是创造出能让自己感到满意的作品，标准来自于内心。,核心动机：内在的情感回报,你在这个游戏中主要想达成的目标是什么？,3,"['房子达到自己满意的效果就下线了', '让自己满意']"
目标动机 (追求美学),玩家追求创造出具有高度审美价值、非常好看的作品。,创造者：构建有形世界,你在这个游戏中主要想达成的目标是什么？,3,[]
社交语境下的目标,玩家的目标是在与朋友一同游戏的大背景下设立和完成的。,核心动机：内在的情感回报,你在这个游戏中主要想达成的目标是什么？,1,['主要是跟朋友一块儿']
